Labels:; RVT81 Vlhkost_0,3m; RVT81 Teplota_0,3m; RVT81 Vlhkost 2m; RVT81 Teplota 2m; PT100 Teplota; PT100 Teplota 2; WS200 Rychlost Větru; WS200 Směr Větru; Hukseflux; NR Lite 2; Srážkoměr; Vlhk. půdy 10cm; Tepl. půdy 10cm; Vlhk. půdy 25cm; Tepl. půdy 25cm; Abs. tlak vzduchu; WS200 Quality; WS200 V-MAX; VACCU; Srážkoměr
Units:; %; °C; %; °C; °C; °C; m/s; °; W/m2; W/m2; mm; %; °C; %; °C; hPa; %; m/s; V; mm
21.09.2024 00:01:00; 67.3; 5.7; 59.8; 7.5; 9.86; 9.11; 1.80; 123; 14.75; -5.46; 0.0; 75.3; 9.5; 58.7; 9.6;  ; 100.0; 3.40; 12.98; 706.4
21.09.2024 00:02:00; 68.2; 5.6; 60.3; 7.4; 9.85; 9.11; 1.80; 122; 15.38; -5.47; 0.0; 75.3; 9.5; 58.7; 9.5;  ; 100.0; 3.40; 13.04; 706.4
21.09.2024 00:03:00; 68.9; 5.5; 61.1; 7.4; 9.85; 9.10; 1.80; 125; 15.05; -5.49; 0.0; 75.3; 9.5; 58.7; 9.6;  ; 100.0; 3.40; 13.04; 706.4
21.09.2024 00:04:00; 69.0; 5.4; 62.3; 7.3; 9.85; 9.10; 1.70; 119; 14.63; -5.51; 0.0; 75.3; 9.5; 58.7; 9.6;  ; 100.0; 3.40; 12.98; 706.4
21.09.2024 00:05:00; 69.5; 5.2; 61.6; 7.2; 9.84; 9.10; 1.60; 118; 14.43; -5.53; 0.0; 75.3; 9.5; 58.7; 9.5;  ; 100.0; 3.40; 13.04; 706.4
21.09.2024 00:06:00; 70.2; 5.0; 62.1; 7.2; 9.84; 9.09; 1.40; 119; 14.82; -5.54; 0.0; 75.3; 9.5; 58.7; 9.5;  ; 100.0; 3.10; 13.04; 706.4
21.09.2024 00:07:00; 70.5; 4.8; 62.0; 7.2; 9.84; 9.09; 1.30; 120; 13.96; -5.56; 0.0; 75.3; 9.5; 58.7; 9.5;  ; 100.0; 3.10; 13.04; 706.4
21.09.2024 00:08:00; 71.2; 4.7; 61.2; 7.2; 9.84; 9.09; 1.30; 123; 14.24; -5.58; 0.0; 75.3; 9.4; 58.7; 9.5;  ; 100.0; 3.10; 13.04; 706.4
21.09.2024 00:09:00; 71.2; 4.6; 60.5; 7.3; 9.83; 9.09; 1.20; 125; 14.53; -5.60; 0.0; 75.3; 9.5; 58.7; 9.5;  ; 100.0; 3.10; 13.04; 706.4
21.09.2024 00:10:00; 69.5; 4.5; 58.4; 7.2; 9.83; 9.08; 1.10; 133; 15.08; -5.62; 0.0; 75.3; 9.5; 58.7; 9.5;  ; 100.0; 2.60; 13.04; 706.4
21.09.2024 00:11:00; 69.6; 4.5; 58.8; 7.1; 9.83; 9.08; 1.10; 145; 14.30; -5.64; 0.0; 75.3; 9.5; 58.7; 9.5;  ; 100.0; 2.00; 13.04; 706.4
21.09.2024 00:12:00; 69.1; 4.5; 58.3; 7.0; 9.82; 9.08; 1.00; 156; 15.41; -5.66; 0.0; 75.3; 9.5; 58.7; 9.5;  ; 100.0; 2.00; 12.98; 706.4
21.09.2024 00:13:00; 68.7; 4.5; 56.8; 7.0; 9.82; 9.08; 1.00; 165; 14.88; -5.67; 0.0; 75.3; 9.5; 58.7; 9.5;  ; 100.0; 2.10; 12.98; 706.4
21.09.2024 00:14:00; 66.8; 4.5; 55.4; 7.1; 9.82; 9.07; 1.10; 167; 15.45; -5.69; 0.0; 75.3; 9.5; 58.7; 9.5;  ; 100.0; 2.70; 12.98; 706.4
21.09.2024 00:15:00; 65.0; 4.8; 53.3; 7.2; 9.82; 9.07; 1.20; 161; 16.60; -5.72; 0.0; 75.3; 9.5; 58.7; 9.5;  ; 100.0; 3.30; 12.98; 706.4
21.09.2024 00:16:00; 64.6; 4.8; 54.1; 7.2; 9.81; 9.07; 1.40; 157; 15.79; -5.74; 0.0; 75.3; 9.5; 58.7; 9.4;  ; 100.0; 3.30; 13.04; 706.4
21.09.2024 00:17:00; 61.9; 5.1; 51.7; 7.3; 9.81; 9.06; 1.50; 153; 16.11; -5.76; 0.0; 75.3; 9.5; 58.7; 9.5;  ; 100.0; 3.80; 12.98; 706.4
21.09.2024 00:18:00; 61.0; 5.3; 51.7; 7.4; 9.81; 9.06; 1.70; 151; 16.31; -5.78; 0.0; 75.3; 9.5; 58.7; 9.4;  ; 100.0; 3.80; 12.93; 706.4
21.09.2024 00:19:00; 62.6; 5.1; 52.8; 7.2; 9.80; 9.06; 1.90; 147; 15.47; -5.79; 0.0; 75.3; 9.5; 58.7; 9.4;  ; 100.0; 3.80; 12.98; 706.4
21.09.2024 00:20:00; 62.2; 5.3; 53.5; 7.3; 9.80; 9.05; 2.10; 144; 19.83; -5.82; 0.0; 75.3; 9.5; 58.7; 9.5;  ; 100.0; 4.10; 12.98; 706.4
21.09.2024 00:21:00; 61.7; 5.3; 53.6; 7.2; 9.80; 9.05; 2.20; 146; 16.46; -5.84; 0.0; 75.3; 9.5; 58.7; 9.4;  ; 100.0; 4.10; 13.04; 706.4
21.09.2024 00:22:00; 62.6; 5.4; 54.3; 7.2; 9.79; 9.05; 2.40; 146; 15.85; -5.86; 0.0; 75.3; 9.5; 58.7; 9.4;  ; 100.0; 4.10; 13.04; 706.4
21.09.2024 00:23:00; 63.4; 5.3; 55.8; 7.1; 9.79; 9.04; 2.40; 146; 17.09; -5.88; 0.0; 75.3; 9.5; 58.7; 9.4;  ; 100.0; 4.10; 13.04; 706.4
21.09.2024 00:24:00; 62.4; 5.8; 54.4; 7.5; 9.79; 9.04; 2.50; 147; 17.55; -5.90; 0.0; 75.3; 9.6; 58.7; 9.4;  ; 100.0; 4.20; 13.04; 706.4
21.09.2024 00:25:00; 63.0; 5.7; 55.7; 7.3; 9.78; 9.04; 2.50; 147; 16.80; -5.92; 0.0; 75.3; 9.5; 58.7; 9.4;  ; 100.0; 4.20; 13.04; 706.4
21.09.2024 00:26:00; 64.8; 5.7; 57.8; 7.3; 9.78; 9.04; 2.40; 150; 19.21; -5.94; 0.0; 75.3; 9.5; 58.7; 9.4;  ; 100.0; 4.20; 13.04; 706.4
21.09.2024 00:27:00; 65.3; 5.6; 58.7; 7.2; 9.78; 9.03; 2.50; 152; 16.18; -5.96; 0.0; 75.3; 9.5; 58.7; 9.4;  ; 100.0; 4.20; 13.04; 706.4
21.09.2024 00:28:00; 66.1; 5.8; 59.6; 7.4; 9.78; 9.03; 2.50; 155; 18.45; -5.98; 0.0; 75.3; 9.5; 58.7; 9.4;  ; 100.0; 4.30; 12.98; 706.4
21.09.2024 00:29:00; 65.6; 5.9; 58.8; 7.5; 9.77; 9.03; 2.50; 155; 17.16; -6.01; 0.0; 75.3; 9.5; 58.7; 9.3;  ; 100.0; 4.30; 12.98; 706.4
21.09.2024 00:30:00; 67.5; 5.8; 61.4; 7.3; 9.77; 9.02; 2.40; 155; 18.05; -6.03; 0.0; 75.3; 9.5; 58.7; 9.4;  ; 100.0; 4.30; 12.98; 706.4
21.09.2024 00:31:00; 68.4; 5.7; 62.2; 7.2; 9.77; 9.02; 2.40; 155; 16.02; -6.05; 0.0; 75.3; 9.5; 58.7; 9.4;  ; 100.0; 4.30; 12.98; 706.4
21.09.2024 00:32:00; 67.5; 5.8; 60.8; 7.3; 9.77; 9.02; 2.40; 153; 18.15; -6.07; 0.0; 75.3; 9.5; 58.7; 9.4;  ; 100.0; 4.30; 12.98; 706.4
21.09.2024 00:33:00; 67.9; 5.8; 61.6; 7.3; 9.76; 9.02; 2.20; 156; 18.24; -6.09; 0.0; 75.3; 9.5; 58.7; 9.4;  ; 100.0; 4.30; 13.04; 706.4
21.09.2024 00:34:00; 68.7; 5.6; 62.9; 7.1; 9.76; 9.01; 2.20; 158; 16.18; -6.11; 0.0; 75.3; 9.5; 58.7; 9.3;  ; 100.0; 4.30; 12.98; 706.4
21.09.2024 00:35:00; 68.9; 5.6; 62.3; 7.1; 9.76; 9.01; 2.30; 157; 15.97; -6.13; 0.0; 75.3; 9.5; 58.7; 9.3;  ; 100.0; 4.30; 12.98; 706.4
21.09.2024 00:36:00; 69.7; 5.6; 63.7; 7.1; 9.75; 9.01; 2.20; 153; 18.76; -6.15; 0.0; 75.3; 9.5; 58.7; 9.3;  ; 100.0; 4.30; 12.98; 706.4
21.09.2024 00:37:00; 69.6; 5.6; 63.5; 7.1; 9.75; 9.01; 2.30; 153; 17.44; -6.17; 0.0; 75.3; 9.5; 58.7; 9.3;  ; 100.0; 4.40; 12.98; 706.4
21.09.2024 00:38:00; 69.0; 5.6; 62.9; 7.0; 9.75; 9.00; 2.30; 154; 17.40; -6.19; 0.0; 75.3; 9.5; 58.7; 9.3;  ; 100.0; 4.40; 12.98; 706.4
21.09.2024 00:39:00; 68.0; 5.7; 61.6; 7.1; 9.75; 9.00; 2.30; 156; 17.51; -6.21; 0.0; 75.3; 9.5; 58.7; 9.3;  ; 100.0; 4.40; 13.04; 706.4
21.09.2024 00:40:00; 66.9; 5.8; 60.9; 7.2; 9.74; 9.00; 2.30; 152; 17.28; -6.23; 0.0; 75.3; 9.4; 58.7; 9.3;  ; 100.0; 4.40; 13.04; 706.4
21.09.2024 00:41:00; 66.9; 5.8; 60.6; 7.2; 9.74; 8.99; 2.40; 151; 16.26; -6.25; 0.0; 75.3; 9.5; 58.7; 9.3;  ; 100.0; 4.40; 12.98; 706.4
21.09.2024 00:42:00; 68.2; 5.8; 62.7; 7.1; 9.74; 8.99; 2.50; 151; 16.68; -6.27; 0.0; 75.3; 9.5; 58.7; 9.2;  ; 100.0; 4.80; 12.98; 706.4
21.09.2024 00:43:00; 68.4; 6.1; 63.0; 7.3; 9.73; 8.99; 2.60; 150; 19.27; -6.29; 0.0; 75.3; 9.5; 58.7; 9.2;  ; 100.0; 5.70; 12.98; 706.4
21.09.2024 00:44:00; 68.4; 6.1; 63.1; 7.4; 9.73; 8.98; 2.70; 149; 18.64; -6.31; 0.0; 75.3; 9.5; 58.7; 9.3;  ; 100.0; 5.70; 13.04; 706.4
21.09.2024 00:45:00; 68.0; 6.2; 61.6; 7.5; 9.73; 8.98; 2.90; 149; 17.05; -6.32; 0.0; 75.3; 9.5; 58.7; 9.3;  ; 100.0; 5.70; 12.98; 706.4
21.09.2024 00:46:00; 68.5; 6.1; 63.4; 7.4; 9.73; 8.98; 2.80; 148; 17.74; -6.34; 0.0; 75.3; 9.5; 58.7; 9.3;  ; 100.0; 5.70; 13.04; 706.4
21.09.2024 00:47:00; 69.1; 6.0; 63.9; 7.3; 9.72; 8.98; 2.80; 148; 17.42; -6.35; 0.0; 75.3; 9.5; 58.7; 9.3;  ; 100.0; 5.70; 12.98; 706.4
21.09.2024 00:48:00; 69.7; 5.9; 64.8; 7.1; 9.72; 8.97; 2.80; 148; 18.33; -6.37; 0.0; 75.3; 9.5; 58.7; 9.2;  ; 100.0; 5.70; 12.98; 706.4
21.09.2024 00:49:00; 70.1; 5.9; 65.2; 7.1; 9.72; 8.97; 2.80; 151; 17.69; -6.38; 0.0; 75.3; 9.5; 58.7; 9.2;  ; 100.0; 5.70; 12.98; 706.4
21.09.2024 00:50:00; 69.9; 5.9; 64.9; 7.1; 9.71; 8.97; 2.90; 152; 16.97; -6.40; 0.0; 75.3; 9.5; 58.7; 9.2;  ; 100.0; 5.70; 13.04; 706.4
21.09.2024 00:51:00; 70.3; 5.9; 65.6; 7.0; 9.71; 8.96; 3.00; 152; 17.52; -6.41; 0.0; 75.3; 9.5; 58.7; 9.2;  ; 100.0; 5.70; 13.04; 706.4
21.09.2024 00:52:00; 70.8; 5.8; 66.1; 7.0; 9.71; 8.96; 2.90; 151; 18.67; -6.43; 0.0; 75.3; 9.5; 58.7; 9.2;  ; 100.0; 4.80; 12.98; 706.4
