Úpské rašeliniště; 63100929; UTC+02

Labels:; RVT81 Vlhkost_0,3m; RVT81 Teplota_0,3m; RVT81 Vlhkost 2m; RVT81 Teplota 2m; PT100 Teplota; PT100 Teplota 2; WS200 Rychlost Větru; WS200 Směr Větru; Hukseflux; NR Lite 2; Srážkoměr; Vlhk. půdy 10cm; Tepl. půdy 10cm; Vlhk. půdy 25cm; Tepl. půdy 25cm; Abs. tlak vzduchu; RVT81 Teplota_SHT_0,3m; WS200 Quality; WS200 V-MAX; VACCU; Srážkoměr
Units:; %; °C; %; °C; °C; °C; m/s; °; W/m2; W/m2; mm; %; °C; %; °C; hPa; °C; %; m/s; V; mm
21.06.2025 08:10:00; 59.2; 11.3; 61.0; 9.9; 9.24; 7.70; 1.95; 169; -44.17; -7.40; 0.0; 76.1; 9.3; 55.1; 8.6; 865.1; 11.4; 100.0; 4.70; 13.45; 1291.9
21.06.2025 08:20:00; 55.4; 11.7; 59.3; 10.1; 9.21; 7.70; 1.45; 169; -49.65; -6.76; 0.0; 76.1; 9.3; 55.1; 8.6; 865.2; 11.8; 100.0; 3.90; 13.37; 1291.9
21.06.2025 08:30:00; 57.6; 12.0; 61.1; 10.5; 9.17; 7.70; 1.20; 331; -54.21; -6.07; 0.0; 76.1; 9.3; 55.1; 8.7; 865.3; 12.0; 100.0; 3.60; 13.37; 1291.9
21.06.2025 08:40:00; 55.5; 12.2; 58.1; 10.6; 9.14; 7.69; 1.15; 325; -63.23; -5.31; 0.0; 76.1; 9.3; 55.1; 8.8; 865.3; 12.0; 100.0; 3.80; 13.42; 1291.9
21.06.2025 08:50:00; 57.7; 12.2; 59.6; 10.4; 9.11; 7.70; 1.65; 309; -63.35; -4.49; 0.0; 76.1; 9.3; 55.1; 8.9; 865.4; 12.2; 100.0; 3.80; 13.37; 1291.9
21.06.2025 09:00:00; 56.4; 12.6; 59.6; 10.9; 9.08; 7.70; 1.50; 312; -67.14; -3.58; 0.0; 76.1; 9.3; 55.1; 9.0; 865.3; 12.6; 100.0; 3.70; 13.53; 1291.9
21.06.2025 09:10:00; 54.3; 13.1; 58.0; 11.1; 9.06; 7.70; 1.35; 336; -74.00; -2.58; 0.0; 76.1; 9.3; 55.1; 9.2; 865.4; 13.2; 100.0; 3.60; 13.45; 1291.9
21.06.2025 09:20:00; 54.1; 13.2; 58.2; 11.3; 9.03; 7.71; 1.55; 192; -77.41; -1.47; 0.0; 76.1; 9.3; 55.1; 9.3; 865.4; 13.3; 100.0; 3.60; 13.42; 1291.9
21.06.2025 09:30:00; 54.7; 13.4; 59.3; 11.4; 9.01; 7.72; 1.65; 52; -79.50; -0.22; 0.0; 76.0; 9.3; 55.1; 9.5; 865.3; 13.5; 100.0; 4.80; 13.60; 1291.9
